date,code,name,mkt,close,atr,atrpct,vol_ratio,ret1,ret3,clsloc,rngr,streak,excess,badge_sigma,fret,fup
2026-08-11,483650,달바글로벌,KOSPI,246000,24143,9.81,0.618,0.186,-0.041,0.346,0.538,1,1.13,0.12,0.663,1
2026-08-11,289930,웨이비스,KOSDAQ,7310,526,7.19,0.495,-0.038,0.552,0.467,0.571,-1,-0.66,-0.09,0.152,1
2026-08-11,267790,배럴,KOSDAQ,3390,171,5.05,4.43,1.549,1.754,0.879,1.695,2,8.09,1.6,-0.058,0
2026-08-11,119850,지엔씨에너지,KOSDAQ,49900,7389,14.81,0.45,-0.392,-0.162,0.161,0.42,-1,-5.88,-0.4,-0.23,0
2026-08-12,005930,삼성전자,KOSPI,255500,23593,9.23,0.895,0.678,1.038,0.744,0.827,2,3.0,0.32,0.53,1
2026-08-12,000660,SK하이닉스,KOSPI,1504000,180786,12.02,0.681,0.437,0.454,0.587,0.603,2,1.86,0.16,0.492,1
2026-08-12,402340,SK스퀘어,KOSPI,1024000,118500,11.57,0.815,0.667,0.717,0.651,0.7,1,4.68,0.4,0.785,1
2026-08-12,009150,삼성전기,KOSPI,1335000,158071,11.84,0.768,0.462,0.361,0.8,0.474,1,2.1,0.18,,
2026-08-12,348210,넥스틴,KOSDAQ,36900,3239,8.78,0.997,0.386,1.806,0.86,0.772,3,3.39,0.39,-0.494,0
2026-08-12,018260,삼성에스디에스,KOSPI,235500,15550,6.6,0.633,-0.096,0.9,0.2,0.643,-1,-4.31,-0.65,0.096,1
2026-08-12,093320,케이아이엔엑스,KOSDAQ,151600,11936,7.87,1.73,-0.955,1.508,0.349,1.558,-1,-7.11,-0.9,-0.461,0
2026-08-12,105560,KB금융,KOSPI,166000,7800,4.7,0.769,-0.077,-1.256,0.085,0.603,-3,-4.04,-0.86,0.269,1
2026-08-12,086520,에코프로,KOSDAQ,91300,7507,8.22,0.633,0.133,0.706,0.78,0.546,1,0.99,0.12,0.107,1
2026-08-12,010140,삼성중공업,KOSPI,21750,1274,5.86,0.976,-0.039,-0.235,0.462,0.51,-2,-3.91,-0.67,0.196,1
2026-08-12,298040,효성중공업,KOSPI,2892000,271929,9.4,0.474,0.224,0.221,0.197,0.279,1,-1.53,-0.16,,
2026-08-12,352820,하이브,KOSPI,179500,13207,7.36,0.569,-0.061,-0.416,0.595,0.318,-3,-4.12,-0.56,-0.235,0
2026-08-12,012330,현대모비스,KOSPI,498500,33571,6.73,0.813,0.089,0.06,0.479,0.715,1,-3.07,-0.46,0.372,1
2026-08-12,017670,SK텔레콤,KOSPI,87800,7543,8.59,0.78,0.239,-0.053,0.382,0.451,2,-1.59,-0.18,0.437,1
2026-08-12,214150,클래시스,KOSDAQ,43800,3343,7.63,1.956,-0.763,-0.628,0.384,1.87,-1,-5.62,-0.74,-1.226,0
2026-08-12,278470,에이피알,KOSPI,397000,27036,6.81,1.412,0.425,0.462,0.561,1.517,1,-0.7,-0.1,0.092,1
2026-08-12,237690,에스티팜,KOSDAQ,107000,8586,8.02,0.607,-0.116,0.804,0.621,0.338,-2,-1.05,-0.13,0.07,1
2026-08-12,200670,휴메딕스,KOSDAQ,27900,1593,5.71,0.931,-0.126,0.785,0.333,0.565,-1,-0.83,-0.15,-0.502,0
2026-08-12,483650,달바글로벌,KOSPI,262000,24393,9.31,1.737,0.656,0.656,0.417,1.476,2,2.82,0.3,-1.066,0
2026-08-12,289930,웨이비스,KOSDAQ,7390,525,7.1,0.803,0.152,0.781,0.75,0.686,1,0.97,0.14,-0.019,0
2026-08-12,267790,배럴,KOSDAQ,3380,170,5.02,0.255,-0.059,1.798,0.667,0.619,-1,-0.41,-0.08,-0.206,0
2026-08-12,119850,지엔씨에너지,KOSDAQ,48200,7000,14.52,0.773,-0.243,-0.586,0.129,0.721,-2,-3.53,-0.24,1.029,1
2026-08-13,005930,삼성전자,KOSPI,268000,23057,8.6,1.199,0.542,1.648,0.647,0.369,3,1.33,0.15,,
2026-08-13,000660,SK하이닉스,KOSPI,1593000,178143,11.18,0.796,0.5,0.971,0.388,0.376,3,2.36,0.21,,
2026-08-13,035420,NAVER,KOSPI,226500,14221,6.28,1.403,0.773,1.055,0.759,1.02,4,1.54,0.25,,
2026-08-13,456040,OCI,KOSPI,80500,5050,6.27,0.733,0.297,0.614,0.304,0.455,3,-1.66,-0.26,,
2026-08-13,402340,SK스퀘어,KOSPI,1117000,119143,10.67,0.915,0.781,1.41,0.515,0.571,2,5.52,0.52,,
2026-08-13,348210,넥스틴,KOSDAQ,35300,3207,9.09,1.168,-0.499,0.312,0.0,0.842,-1,-4.63,-0.51,,
2026-08-13,018260,삼성에스디에스,KOSPI,237000,15157,6.4,1.089,0.099,0.957,0.591,0.726,1,-2.92,-0.46,,
2026-08-13,093320,케이아이엔엑스,KOSDAQ,146100,12071,8.26,1.212,-0.456,-0.265,0.323,0.77,-2,-3.92,-0.47,,
2026-08-13,105560,KB금융,KOSPI,168100,7357,4.38,1.138,0.285,-0.489,0.5,0.625,1,-2.29,-0.52,,
2026-08-13,086520,에코프로,KOSDAQ,92100,7386,8.02,0.903,0.108,-0.19,0.543,0.623,2,0.59,0.07,,
2026-08-13,010140,삼성중공업,KOSPI,22000,1228,5.58,1.371,0.204,-0.448,0.455,0.448,1,-2.41,-0.43,,
2026-08-13,352820,하이브,KOSPI,176400,12971,7.35,1.166,-0.239,-0.578,0.231,0.401,-4,-5.29,-0.72,,
2026-08-13,012330,현대모비스,KOSPI,511000,32250,6.31,0.952,0.388,0.186,0.269,0.806,2,-1.05,-0.17,,
2026-08-13,017670,SK텔레콤,KOSPI,91100,7414,8.14,1.504,0.445,0.823,0.194,0.904,3,0.2,0.02,,
2026-08-13,214150,클래시스,KOSDAQ,39700,3486,8.78,2.475,-1.176,-1.893,0.024,1.191,-2,-9.65,-1.1,,
2026-08-13,278470,에이피알,KOSPI,399500,27696,6.93,1.057,0.09,0.451,0.244,1.182,2,-2.93,-0.42,,
2026-08-13,237690,에스티팜,KOSDAQ,107600,8350,7.76,0.577,0.072,-0.048,0.588,0.407,1,0.27,0.03,,
2026-08-13,200670,휴메딕스,KOSDAQ,27100,1596,5.89,1.279,-0.501,-0.407,0.263,0.595,-2,-3.16,-0.54,,
2026-08-13,483650,달바글로벌,KOSPI,236000,26250,11.12,3.383,-0.99,-0.21,0.1,1.905,-1,-13.48,-1.21,,
2026-08-13,289930,웨이비스,KOSDAQ,7380,512,6.94,1.497,-0.02,0.098,0.071,0.547,-1,-0.43,-0.06,,
2026-08-13,267790,배럴,KOSDAQ,3345,171,5.11,0.665,-0.205,1.286,0.621,0.848,-2,-1.33,-0.26,,
2026-08-13,119850,지엔씨에너지,KOSDAQ,55400,7164,12.93,1.461,1.005,0.363,0.75,1.284,1,14.65,1.13,,
